price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
215000,112,3,2,1,1919.64,MONTESE
220000,67,2,2,1,3283.58,VICENTE PINZON
600000,106,4,4,2,5660.38,ALDEOTA
650000,105,3,3,2,6190.48,CAMBEBA
420000,58,2,2,1,7241.38,PRAIA DO FUTURO
680000,118,3,3,3,5762.71,ALDEOTA
270000,70,3,2,2,3857.14,CAMBEBA
550000,74,3,2,2,7432.43,ENG LUCIANO CAVALCANTE
550000,74,3,2,2,7432.43,ENG LUCIANO CAVALCANTE
559999,140,4,4,4,3999.99,COCO
190000,104,3,2,1,1826.92,COCO
463000,71,3,2,1,6521.13,ENG LUCIANO CAVALCANTE
700000,94,2,1,2,7446.81,DAMAS
525000,74,3,3,2,7094.59,PATRIOLINO RIBEIRO
380000,121,3,3,2,3140.5,COCO
169999,50,2,2,1,3399.98,CAMBEBA
174000,50,2,2,1,3480.0,SALINAS
480000,119,3,2,2,4033.61,ALDEOTA
550000,218,3,5,2,2522.94,ALDEOTA
420000,123,3,4,2,3414.63,PAPICU
215000,100,3,2,1,2150.0,CIDADE DOS FUNCIONARIOS
460000,212,3,4,2,2169.81,ALDEOTA
440000,112,3,2,2,3928.57,ALDEOTA
219000,84,3,2,1,2607.14,CIDADE DOS FUNCIONARIOS
1050000,115,3,4,2,9130.43,ALDEOTA
299999,65,3,2,1,4615.37,ALDEOTA
360000,122,2,3,1,2950.82,COCO
250000,97,3,2,1,2577.32,PRESIDENTE KENNEDY
700000,128,3,3,2,5468.75,ALDEOTA
499999,97,4,3,2,5154.63,MEIRELES
220000,65,3,2,1,3384.62,SAO GERARDO
620000,113,3,4,2,5486.73,CIDADE DOS FUNCIONARIOS
250000,60,3,2,2,4166.67,SAPIRANGA COITE
730000,91,3,3,2,8021.98,ALDEOTA
779618,116,3,4,2,6720.84,PARQUE IRACEMA
580000,92,3,2,2,6304.35,JOAQUIM TAVORA
650000,92,3,3,2,7065.22,PATRIOLINO RIBEIRO
490000,90,3,3,2,5444.44,CAMBEBA
349000,117,3,3,2,2982.91,PAPICU
545000,96,3,3,2,5677.08,COCO
685000,98,3,3,2,6989.8,COCO
650000,86,2,3,2,7558.14,MUCURIPE
170000,64,3,1,1,2656.25,DAMAS
675000,90,3,4,2,7500.0,PARQUE IRACEMA
480000,124,3,3,2,3870.97,PRAIA DE IRACEMA
450000,95,3,2,1,4736.84,CENTRO
580000,128,3,4,2,4531.25,ALDEOTA
440000,90,3,1,2,4888.89,JOAQUIM TAVORA
789999,119,3,5,2,6638.65,ENG LUCIANO CAVALCANTE
220000,73,2,1,1,3013.7,MONTESE
339000,122,3,4,2,2778.69,VARJOTA
490000,67,3,2,1,7313.43,ALDEOTA
707455,90,3,2,2,7860.61,PATRIOLINO RIBEIRO
220000,89,3,2,2,2471.91,PASSARE
215000,113,3,3,1,1902.65,MONTESE
650000,97,3,3,2,6701.03,ALDEOTA
592000,82,3,3,2,7219.51,PATRIOLINO RIBEIRO
390000,86,3,2,1,4534.88,DAMAS
